origin,init,destination,final,price
0,0,1,1,0.9
0,0,2,1,1.1
0,0,3,3,3.6
0,0,4,1,0.9
0,0,5,2,1.5
0,0,6,1,1.3
0,0,7,1,0.7
0,0,8,1,0.7
0,0,9,2,1.7
1,0,0,1,1.0
1,0,2,1,0.4
1,0,3,2,2.7
1,0,4,1,0.8
1,0,5,1,0.5
1,0,6,2,1.1
1,0,7,1,0.5
1,0,8,1,1.4
1,0,9,1,0.9
2,0,0,1,1.2
2,0,1,1,0.5
2,0,3,2,2.3
2,0,4,1,0.4
2,0,5,1,0.5
2,0,6,1,0.7
2,0,7,1,0.6
2,0,8,1,1.0
2,0,9,1,0.6
3,0,0,3,3.8
3,0,1,2,2.8
3,0,2,2,2.5
3,0,4,2,2.8
3,0,5,1,2.1
3,0,6,2,3.8
3,0,7,2,2.9
3,0,8,2,5.5
3,0,9,1,2.3
4,0,0,1,0.8
4,0,1,1,0.9
4,0,2,1,0.6
4,0,3,2,2.8
4,0,5,1,0.9
4,0,6,1,0.5
4,0,7,1,0.4
4,0,8,1,0.7
4,0,9,1,0.8
5,0,0,2,1.5
5,0,1,1,0.6
5,0,2,1,0.5
5,0,3,1,1.9
5,0,4,1,0.9
5,0,6,1,1.0
5,0,7,1,1.0
5,0,8,2,1.4
5,0,9,1,0.6
6,0,0,1,1.2
6,0,1,1,1.0
6,0,2,1,0.7
6,0,3,1,3.5
6,0,4,1,0.4
6,0,5,1,1.1
6,0,7,1,0.7
6,0,8,1,0.7
6,0,9,1,0.6
7,0,0,1,0.7
7,0,1,1,0.5
7,0,2,1,0.4
7,0,3,2,2.9
7,0,4,1,0.4
7,0,5,1,1.0
7,0,6,1,0.7
7,0,8,1,0.8
7,0,9,1,1.0
8,0,0,1,0.8
8,0,1,1,1.4
8,0,2,1,1.0
8,0,3,2,5.3
8,0,4,1,0.6
8,0,5,2,1.4
8,0,6,1,0.7
8,0,7,1,0.8
8,0,9,1,1.1
9,0,0,2,1.6
9,0,1,1,0.8
9,0,2,1,0.5
9,0,3,1,2.4
9,0,4,1,0.8
9,0,5,1,0.5
9,0,6,1,0.7
9,0,7,1,0.9
9,0,8,1,1.2
0,1,1,2,0.9
0,1,2,2,1.1
0,1,3,4,3.6
0,1,4,2,0.9
